parliament,member,birthPlace,coordinates,start,end,party
38,"Sir Anthony Nutting, 3rd Baronet",Shrewsbury,(-2.754444444 52.708055555),1945,1950,Conservative Party
38,"Sir Christopher Peto, 3rd Baronet",Chertsey,(-0.5074 51.3902),1945,1950,Conservative Party
37,"Sir Eric Errington, 1st Baronet",Glasgow,(-4.25 55.861111111),1935,1945,Conservative Party
38,"Sir Henry Willink, 1st Baronet",Liverpool,(-2.991666666 53.407222222),1945,1948,Conservative Party
38,"Sir James Henderson-Stewart, 1st Baronet",Crieff,(-3.843055555 56.373611111),1945,1950,Conservative Party
37,Noel Goldie,Liverpool,(-2.991666666 53.407222222),1935,1945,Conservative Party
37,Oliver Locker-Lampson,London,(-0.1275 51.507222222),1935,1945,Conservative Party
38,"Oliver Poole, 1st Baron Poole",Marylebone,(-0.147 51.5177),1945,1950,Conservative Party
37,Oliver Simmonds,King's Lynn,(0.3976 52.7543),1935,1945,Conservative Party
37,Oswald Lewis,Hampstead,(-0.1744 51.5541),1935,1945,Conservative Party
38,Otho Prior-Palmer,Dublin,(-6.260277777 53.349722222),1945,1950,Conservative Party
38,"Peter Bennett, 1st Baron Bennett of Edgbaston",Birmingham,(-1.9025 52.48),1945,1950,Conservative Party
37,Peter Macdonald,Gillis Lake,(-60.4468 46.058),1935,1945,Conservative Party
37,Herbert Morrison,London,(-0.1275 51.507222222),1935,1945,Labour Party
38,"Antony Head, 1st Viscount Head",London,(-0.1275 51.507222222),1945,1950,Conservative Party
38,"Gwilym Lloyd George, 1st Viscount Tenby",Criccieth,(-4.236261111 52.916969444),1945,1950,Conservative Party
37,"William Sidney, 1st Viscount De L'Isle",Chelsea,(-0.1684 51.4875),1944,1945,Conservative Party
37,"Henry Brooke, Baron Brooke of Cumnor",Oxford,(-1.257777777 51.751944444),1938,1945,Conservative Party
38,"Edith Summerskill, Baroness Summerskill",London,(-0.1275 51.507222222),1945,1950,Labour Party
37,Alfred Knox,Ulster,(-6.744555555 54.740722222),1935,1945,Conservative Party
38,William Darling,Carlisle,(-2.936388888 54.894722222),1945,1950,Conservative Party
37,"William Davison, 1st Baron Broughshane",Broughshane,(-6.20611 54.8936),1935,1945,Conservative Party
37,Lindsay Everard,Knighton,(-1.116 52.606),1935,1945,Conservative Party
